term,category
chlorpyrifos,matter
chlorsulfuron,matter
chlortetracycline,matter
cholesterol,matter
chrysene,matter
cinnamal,matter
citral,matter
citronellol,matter
clinafloxacin,matter
clomazone,matter
clopyralid,matter
clox,matter
codeine,matter
coronene,matter
cotinine,matter
coumaphos,matter
coumaran,matter
coumarin,matter
cresol,matter
cresols,matter
cyanazine,matter
cyanide,matter
cycloate,matter
cyclohexane,matter
cyfluthrin,matter
cypermethrin,matter
cyprazine,matter
dalapon,matter
dcpa,matter
ddt,matter
deltamethrin,matter
demeton,matter
desmedipham,matter
diallate,matter
diazepam,matter
diazinon,matter
diazoxon,matter
dibenzofuran,matter
dibenzothiophene,matter
dibromoacetonitrile,matter
dibromochloromethane,matter
dibromomethane,matter
dibutyltin,matter
dicamba,matter
dichlobenil,matter
dichlorine,matter
dichloroacetonitrile,matter
dichlorodifluoromethane,matter
dichlorofenthion,matter
dichlorofluoromethane,matter
dichloromethane,matter
dichlorprop,matter
dichlorvos,matter
dicofol,matter
dicrotophos,matter
dieldrin,matter
diethyldimethyllead,matter
diflubenzuron,matter
digoxin,matter
dihydrogen,matter
dilan,matter
dimethenamid,matter
dimethoate,matter
dimethomorph,matter
dimethoxymethane,matter
dimethylarsinate,matter
dinitrogen,matter
dinoseb,matter
dioxacarb,matter
dioxathion,matter
dioxygen,matter
diphenamid,matter
diphenhydramine,matter
diphenylamine,matter
diquat,matter
distearyldimonium,matter
disulfide,matter
disulfoton,matter
diuron,matter
dopamine,matter
doxycycline,matter
dysprosium,matter
endosulfan,matter
endothal,matter
endrin,matter
epn,matter
eptc,matter
equilenin,matter
erbium,matter
erythromycin,matter
esfenvalerate,matter
ester,matter
esters,matter
estrone,matter
ethalfluralin,matter
ethane,matter
ethanol,matter
ethene,matter
ether,matter
ethers,matter
ethidimuron,matter
ethiofencarb,matter
ethion,matter
ethoprop,matter
ethylbenzene,matter
ethyne,matter
etridiazole,matter
etrimfos,matter
eugenol,matter
famphur,matter
farnesol,matter
fat,matter
fenamiphos,matter
fenarimol,matter
fenitrothion,matter
fenobucarb,matter
fenpropathrin,matter
fensulfothion,matter
fenthion,matter
fenuron,matter
fipronil,matter
flavanol,matter
fluchloralin,matter
flufenacet,matter
flumetralin,matter
flumetsulam,matter
fluometuron,matter
fluoranthene,matter
fluorene,matter
fluoride,matter
fluridone,matter
fonofos,matter
formaldehyde,matter
formetanate,matter
furosemide,matter
glyoxal,matter
glyphosate,matter
halide,matter
halides,matter
halofenozide,matter
halon,matter
hcc,matter
hcfc,matter
heptachlor,matter
heptachlorodibenzofuran,matter
heptachlorodibenzofurans,matter
hexabromocyclododecane,matter
hexachlorobenzene,matter
hexachlorobiphenyl,matter
hexachlorobutadiene,matter
hexachlorocyclopentadiene,matter
hexachlorodibenzofuran,matter
hexachlorodibenzofurans,matter
hexachloroethane,matter
hexachloropropene,matter
hexane,matter
hexazinone,matter
hmx,matter
holmium,matter
homosalate,matter
hox,matter
hydrocarbon,matter
hydrocarbons,matter
hydrochlorothiazide,matter
hydroperoxyl,matter
hydroxide,matter
hydroxyl,matter
hydroxysimazine,matter
ibuprofen,matter
imazapyr,matter
imazaquin,matter
imazethapyr,matter
imidacloprid,matter
indigo,matter
indole,matter
iodide,matter
iodomethane,matter
ioxynil,matter
iprodione,matter
isoborneol,matter
isobutene,matter
isodrin,matter
isoeugenol,matter
isofenphos,matter
isophorone,matter
isophytol,matter
isoprene,matter
isoprocarb,matter
isopropylbenzene,matter
isoquinoline,matter
isosafrole,matter
isoxaflutole,matter
ketone,matter
ketoprofen,matter
krypton,matter
lanolin,matter
lecithin,matter
leptophos,matter
levothyroxin,matter
lignin,matter
limonene,matter
linalool,matter
lincomycin,matter
lindane,matter
linuron,matter
lipid,matter
malaoxon,matter
malathion,matter
mancozeb,matter
maneb,matter
mcpa,matter
mcpb,matter
mecoprop,matter
merphos,matter
mestranol,matter
metalaxyl,matter
methamidophos,matter
methane,matter
methanol,matter
methapyrilene,matter
methidathion,matter
methiocarb,matter
methlyglyoxal,matter
methocarbamol,matter
methomyl,matter
methoprene,matter
methylcyclohexane,matter
methylmercury,matter
methyltriethyllead,matter
metolachlor,matter
metribuzin,matter
metsulfuron,matter
mevinphos,matter
mexacarbate,matter
mirex,matter
mobam,matter
molinate,matter
monobutyltin,matter
monocrotophos,matter
monolinuron,matter
monosulfide,matter
monoterpenes,matter
monuron,matter
msma,matter
mtmc,matter
myclobutanil,matter
naled,matter
naphthalene,matter
naphthalenes,matter
napropamide,matter
neburon,matter
nicosulfuron,matter
nicotine,matter
nitrapyrin,matter
nitrate,matter
nitrite,matter
nitrobenzene,matter
nitroglycerin,matter
nitromethane,matter
nmvoc,matter
